title_id	name	rank	exists	parentage_count	review_priority	notes
title-q625380	Eastern Hungarian Kingdom	Kingdom	1526..1570	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q62567	Kingdom of Iceland	Kingdom	1918..1944	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q62623	Kalmar Union	Kingdom	1397..1523	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q62633	Grand Duchy of Finland	Duchy	1809..1917	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q62651	Denmark-Norway	Empire	1536..1814	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q633573	Kingdom of Rheged	Kingdom	500..650	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q641138	Duchy of Cleves	Duchy	1092..1795	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q649202	Duchy of Urbino	Duchy	1443..1631	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q657241	Duchy of Westphalia	Duchy	1180..1803	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q660393	Lower Lotharingia	Duchy	959..1190	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q6673921	Lotharingia	Duchy	855..959	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q671899	Duchy of Teschen	Duchy	1281..1918	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q675363	County of Geneva	County	900..1401	0	high_parentage_review	Find reviewed duchy, kingdom, or empire parentage source.
title-q676184	Kingdom of Sussex	Kingdom	477..825	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q682001	Duchy of Bytom	Duchy	1281..1498	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q684030	Principality of Serbia	Duchy	1815..1882	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q686312	Duchy of Amalfi	Duchy	839..1137	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q692946	Gorizia and Gradisca	Empire	1754..1919	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q693570	Duchy of Ferrara	Duchy	1264..1597	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q696908	Kingdom of Poland	Kingdom	1916..1918	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q698089	Grand Duchy of Wurzburg	Duchy	1806..1814	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q699923	Illyrian Provinces	Empire	1809..1816	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q701983	Palatinate-Zweibrucken	Empire	1444..1801	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q702327	Duchy of Oswiecim	Duchy	1315..1564	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q704312	Grand Duchy of Frankfurt	Duchy	1810..1813	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
