title_id	name	rank	exists	parentage_count	review_priority	notes
title-q191484	Old Great Bulgaria	Empire	632..668	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q195972	Kingdom of Kartli	Kingdom	1466..1762	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q199688	Almohad Caliphate	Empire	1121..1269	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q20	Kingdom of Norway	Kingdom	1905..2026	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q200262	Kingdom of Navarre	Kingdom	1162..1841	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q200464	Portuguese Empire	Empire	1415..1999	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q203493	Kingdom of Romania	Kingdom	1881..1947	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q203817	First Bulgarian Empire	Empire	681..1018	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q2042616	Chalkidian League	Empire	-432..-348	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q2090473	Khazar Khaganate	Empire	650..969	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q209065	Kingdom of Greece	Kingdom	1832..1973	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q2253783	Kingdom of Glywysing	Kingdom	500..1063	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q231392	Kingdom of Asturias	Kingdom	718..910	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q241748	Kingdom of Serbia	Kingdom	1882..1918	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q252323	Taifa of Denia	Kingdom	1010..1227	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q2577303	Kingdom of Sardinia	Kingdom	1720..1861	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q2597352	Kingdom of Norway	Kingdom	1814..1814	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q28513	Austria-Hungary	Empire	1867..1918	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q2992329	County Palatine of Durham	TheocraticState	883..1836	0	medium_parentage_review	Find reviewed empire, union, or successor-context source.
title-q3181749	Arab Caliphate	Empire	632..1517	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q31929	Carolingian Empire	Empire	800..887	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q321371	Bosporan Kingdom	Kingdom	-437..370	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q328818	Kingdom of Kent	Kingdom	450..871	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q34266	Russian Empire	Empire	1721..1917	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q3446210	Kingdom of Pamplona	Kingdom	824..1162	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
